Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated,Rank_Score,Assets_B,MarketCap_B,Assets_norm,MarketCap_norm,Rank_norm,Company_Size
1,Walmart,WMT,Retailing,General Merchandisers,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,yes,2100000,484852.8,648125.0,6.0,15511.0,32.8,252399.0,C. Douglas Mcmillon,U.S.,Bentonville,Arkansas,Https://Www.Stock.Walmart.Com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",559911.0,2024-08-05,1000,252.399,559.911,0.0582735927604689,0.1557770909512788,0.0,Mega
2,Amazon,AMZN,Retailing,Internet Services And Retailing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,no,1525000,1873675.8,574785.0,11.8,30425.0,0.0,527854.0,Andrew R. Jassy,U.S.,Seattle,Washington,Https://Www.Amazon.Com,Public,"Market value as of July 15, 2024.",2005565.0,2024-08-05,999,527.854,2005.565,0.12196149537914446,0.5579834677541635,0.001001001001001001,Mega
3,Apple,AAPL,Technology,"Computers, Office Equipment",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,yes,yes,no,161000,2647973.8,383285.0,-2.8,96995.0,-2.8,352583.0,Timothy D. Cook,U.S.,Cupertino,California,Https://Www.Apple.Com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of July 15, 2024.",3594309.0,2024-08-05,998,352.583,3594.309,0.08143711796766932,1.0,0.002002002002002002,Mega
4,Unitedhealth Group,UNH,Health Care,Health Care: Insurance And Managed Care,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,yes,yes,no,440000,456080.8,371622.0,14.6,22381.0,11.2,273720.0,Andrew P. Witty,U.S.,Minnetonka,Minnesota,Https://Www.Unitedhealthgroup.Com,Public,"Market value as of July 15, 2024.",474339.0,2024-08-05,997,273.72,474.339,0.06320321746044814,0.13196945504685323,0.003003003003003003,Mega
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property And Casualty (Stock),1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,yes,yes,no,396500,908919.7,364482.0,20.7,96223.0,0.0,1069978.0,Warren E. Buffett,U.S.,Omaha,Nebraska,Https://Www.Berkshirehathaway.Com,Public,"Market value as of July 15, 2024.",937028.0,2024-08-05,996,1069.978,937.028,0.24730589108532827,0.26069767513032405,0.004004004004004004,Mega
6,Cvs Health,CVS,Health Care,Health Care: Pharmacy And Other Services,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,yes,yes,no,259500,100373.9,357776.0,10.9,8344.0,101.1,249728.0,Karen S. Lynch,U.S.,Woonsocket,Rhode Island,Https://Www.Cvshealth.Com,Public,"Market value as of July 15, 2024.",73653.0,2024-08-05,995,249.728,73.653,0.05765603131524379,0.020491560408412296,0.005005005005005005,Mega
7,Exxon Mobil,XOM,Energy,Petroleum Refining,1.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,yes,no,no,61500,461222.2,344582.0,-16.7,36010.0,-35.4,376317.0,Darren W. Woods,U.S.,Spring,Texas,Https://Www.Exxonmobil.Com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",516824.0,2024-08-05,994,376.317,516.824,0.08692465197776769,0.1437895295034456,0.006006006006006006,Mega
8,Alphabet,GOOGL,Technology,Internet Services And Retailing,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,no,182502,1884633.0,307394.0,8.7,73795.0,23.0,402392.0,Sundar Pichai,U.S.,Mountain View,California,Https://Www.Abc.Xyz,Public,"Market value as of July 15, 2024.",2315182.0,2024-08-05,993,402.392,2315.182,0.09295344819051375,0.6441243643771306,0.007007007007007007,Mega
9,Mckesson,MCK,Health Care,Wholesalers: Health Care,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no,no,48000,70546.5,276711.0,4.8,3560.0,219.6,62320.0,Brian S. Tyler,U.S.,Irving,Texas,Https://Www.Mckesson.Com,Public,"Figures are for fiscal year ended March 31, 2024. Market value as of July 15, 2024.",75007.0,2024-08-05,992,62.32,75.007,0.014325460245701594,0.020868267029907555,0.008008008008008008,Large
10,Cencora,COR,Health Care,Wholesalers: Health Care,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,yes,no,no,44000,48472.1,262173.4,9.9,1745.3,2.7,62558.7,Steven H. Collis,U.S.,Conshohocken,Pennsylvania,Https://Www.Cencora.Com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Changed name from AmerisourceBergen, Aug. 30, 2023. Market value as of July 15, 2024.",43758.0,2024-08-05,991,62.558699999999995,43.758,0.014380650031165928,0.012174245453020316,0.009009009009009009,Large
11,Costco Wholesale,COST,Retailing,General Merchandisers,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,yes,yes,no,316000,324924.4,242290.0,6.8,6292.0,7.7,68994.0,Ron M. Vachris,U.S.,Issaquah,Washington,Https://Www.Costco.Com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of July 15, 2024.",376272.0,2024-08-05,990,68.994,376.272,0.015868554624373397,0.1046854903126025,0.01001001001001001,Large
12,Jpmorgan Chase,JPM,Financials,Commercial Banks,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,yes,yes,no,309926,576938.4,239425.0,54.7,49552.0,31.5,3875393.0,James Dimon,U.S.,New York,New York,Https://Www.Jpmorganchase.Com,Public,"Market value as of July 15, 2024.",603194.0,2024-08-05,989,3875.393,603.194,0.8959454050711759,0.16781918304742302,0.011011011011011011,Mega
13,Microsoft,MSFT,Technology,Computer Software,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes,no,221000,3126133.1,211915.0,6.9,72361.0,-0.5,411976.0,Satya Nadella,U.S.,Redmond,Washington,Https://Www.Microsoft.Com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",3373970.0,2024-08-05,988,411.976,3373.97,0.09516936316282279,0.9386978136826856,0.012012012012012012,Mega
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yes,no,no,47520,27217.8,205012.0,13.0,261.0,0.0,43417.0,Jason M. Hollar,U.S.,Dublin,Ohio,Https://Www.Cardinalhealth.Com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of July 15, 2024.",22832.0,2024-08-05,987,43.417,22.832,0.009954900904971442,0.00635226409304264,0.013013013013013013,Medium
15,Chevron,CVX,Energy,Petroleum Refining,1.0,0.0,0.0,0.0,-5.0,0.0,1.0,0.0,yes,no,no,45600,292965.6,200949.0,-18.4,21369.0,-39.7,261632.0,Michael K. Wirth,U.S.,San Ramon,California,Https://Www.Chevron.Com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",291950.0,2024-08-05,986,261.632,291.95,0.060408353083854685,0.08122562639995615,0.014014014014014014,Mega
16,Cigna,CI,Health Care,Health Care: Pharmacy And Other Services,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,yes,no,no,71413,103017.9,195265.0,8.2,5164.0,-22.6,152761.0,David M. Cordani,U.S.,Bloomfield,Connecticut,Https://Www.Thecignagroup.Com,Public,"Market value as of July 15, 2024.",94148.0,2024-08-05,985,152.761,94.148,0.035236308118260215,0.026193629985624495,0.015015015015015015,Large
17,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,yes,no,no,177000,53017.8,176191.0,11.5,4347.0,0.0,273310.0,James D. Farley Jr.,U.S.,Dearborn,Michigan,Https://Www.Ford.Com,Public,"Market value as of July 15, 2024.",56811.0,2024-08-05,984,273.31,56.811,0.06310842143179135,0.01580581969997571,0.016016016016016016,Mega
18,Bank Of America,BAC,Financials,Commercial Banks,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,yes,yes,yes,212985,299213.0,171912.0,49.4,26515.0,-3.7,3180151.0,Brian T. Moynihan,U.S.,Charlotte,North Carolina,Https://Www.Bankofamerica.Com,Public,"Market value as of July 15, 2024.",327595.0,2024-08-05,983,3180.151,327.595,0.7351986232287216,0.09114269251753257,0.017017017017017015,Mega
19,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,yes,no,no,163000,52353.5,171842.0,9.6,10127.0,1.9,273064.0,Mary T. Barra,U.S.,Detroit,Michigan,Https://Www.Gm.Com,Public,"Market value as of July 15, 2024.",56222.0,2024-08-05,982,273.064,56.222,0.06305154381459728,0.01564194953744934,0.01801801801801802,Mega
20,Elevance Health,ELV,Health Care,Health Care: Insurance And Managed Care,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,yes,yes,yes,104900,120619.6,171340.0,9.4,5987.0,-0.6,108928.0,Gail K. Boudreaux,U.S.,Indianapolis,Indiana,Https://Www.Elevancehealth.Com,Public,"Market value as of July 15, 2024.",123335.0,2024-08-05,981,108.928,123.335,0.025101687815545056,0.034313966884872725,0.01901901901901902,Large
21,Citigroup,C,Financials,Commercial Banks,1.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,yes,no,no,237925,121122.2,156820.0,55.1,9228.0,-37.8,2411834.0,Jane Fraser,U.S.,New York,New York,Https://Www.Citigroup.Com,Public,"Market value as of July 15, 2024.",124251.0,2024-08-05,980,2411.834,124.251,0.5575561833518891,0.03456881420044854,0.02002002002002002,Mega
22,Centene,CNC,Health Care,Health Care: Insurance And Managed Care,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,yes,yes,no,67700,41979.4,153999.0,6.5,2702.0,124.8,84641.0,Sarah M. London,U.S.,St. Louis,Missouri,Https://Www.Centene.Com,Public,"Market value as of July 15, 2024.",35221.0,2024-08-05,979,84.641,35.221,0.019486294771673015,0.00979910185796491,0.02102102102102102,Large
23,Home Depot,HD,Retailing,Specialty Retailers: Other,1.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0,yes,yes,no,463100,380153.7,152669.0,-3.0,15143.0,-11.5,76530.0,Edward P. Decker,U.S.,Atlanta,Georgia,Https://Www.Homedepot.Com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",355454.0,2024-08-05,978,76.53,355.454,0.017610951873050455,0.09889355645271455,0.022022022022022025,Large
24,Marathon Petroleum,MPC,Energy,Petroleum Refining,1.0,0.0,0.0,0.0,-8.0,0.0,1.0,0.0,yes,no,no,18200,72607.7,150307.0,-16.5,9681.0,-33.3,85987.0,Maryann T. Mannen,U.S.,Findlay,Ohio,Https://Www.Marathonpetroleum.Com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",58737.0,2024-08-05,977,85.987,58.737,0.019797503197458488,0.016341666784909142,0.023023023023023025,Large
25,Kroger,KR,Food & Drug Stores,Food & Drug Stores,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,yes,no,no,414000,41100.7,150039.0,1.2,2164.0,-3.6,50505.0,W. Rodney Mcmullen,U.S.,Cincinnati,Ohio,Https://Www.Thekrogerco.Com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of July 15, 2024.",37620.0,2024-08-05,976,50.505,37.62,0.011593716151604004,0.010466545864587602,0.024024024024024024,Large
26,Phillips 66,PSX,Energy,Petroleum Refining,1.0,0.0,0.0,0.0,-9.0,0.0,1.0,0.0,yes,no,no,14000,69880.8,149890.0,-14.7,7015.0,-36.4,75501.0,Mark E. Lashier,U.S.,Houston,Texas,Https://Www.Phillips66.Com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",59383.0,2024-08-05,975,75.501,59.383,0.0173730369621045,0.016521395350260648,0.025025025025025023,Large
27,Fannie Mae,FNMA,Financials,Diversified Financials,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,yes,no,no,8100,1818.2,141240.0,16.2,17408.0,34.7,4325437.0,Priscilla Almodovar,U.S.,Washington,District Of Columbia,Https://Www.Fanniemae.Com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 15, 2024.",8585.0,2024-08-05,974,4325.437,8.585,1.0,0.002388498039539728,0.02602602602602603,Mega
28,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food & Drug Stores,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,yes,no,no,268500,18712.3,139081.0,4.8,-3080.0,-171.0,96628.0,Timothy Wentworth,U.S.,Deerfield,Illinois,Https://Www.Walgreensbootsalliance.Com,Public,"Figures are for fiscal year ended Aug. 31, 2023. Market value as of July 15, 2024.",10100.0,2024-08-05,973,96.628,10.1,0.02225780695584126,0.0028099976935761503,0.02702702702702703,Large
29,Valero Energy,VLO,Energy,Petroleum Refining,1.0,0.0,0.0,0.0,-11.0,0.0,1.0,0.0,yes,no,no,9897,56234.5,139001.0,-18.8,8835.0,-23.4,63056.0,R. Lane Riggs,U.S.,San Antonio,Texas,Https://Www.Valero.Com,Public,"Excise taxes have been deducted. Market value as of July 15, 2024.",48641.0,2024-08-05,972,63.056,48.641,0.014495630677631838,0.013532781961706687,0.028028028028028028,Large
30,Meta Platforms,META,Technology,Internet Services And Retailing,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,yes,yes,no,67317,1237940.1,134902.0,15.7,39098.0,68.5,229623.0,Mark Zuckerberg,U.S.,Menlo Park,California,Https://Investor.Fb.Com,Public,"Market value as of July 15, 2024.",1258678.0,2024-08-05,971,229.623,1258.678,0.05300755776367105,0.3501863640549546,0.029029029029029027,Mega
